city_name;office_address;ordered_quantity;ordered_cost;profit
b14e370e-d89d-4384-b801-f562aabdf03c;Granite Cambridgeshire Salvador;38024;82200;91536
05eaaa8b-47aa-4506-a1d6-ef18185a28cf;generating Borders infrastructures;80727;38153;49759
1e543d3b-97a5-4574-9450-ef2f32cf2f04;India compress Avon;75103;13502;29592
3d0fafb9-9893-4d39-af28-ce0031ba317b;Producer;42963;28238;64888
ae5b6590-b7ca-4eb5-a34e-e39d631f5249;overriding Toys Research;81549;41298;6162
d20dfb12-8caa-4845-a345-900d1e7082e6;bus Finland;45265;56064;97210
77870fda-e5a2-463f-972d-dd4d88911a5a;Indiana transmitting;62898;41208;27900
f8403671-3687-4fc8-a57a-c966b6751fc9;copy;44418;46481;26804
c68e186e-3516-4738-9da0-ef42d7be2a7d;connect;79384;84741;75278
2ce55142-f53a-42e2-91d3-6741748160e8;synthesize connecting purple;6503;81056;36122
